alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.5,0.05,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4135802393271701,1.061822513400832,0.060289316018805196,0.0099604582330008,83.48,0.3969233162360974,0.3232407263934951,17828.000000000015,2,1279,96964.0,63
0.4,0.05,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.42720243975632405,1.0706372840976754,0.060289316018805196,0.008788000945992431,85.42,0.3922169983087468,0.3303513061855345,17976.00000000002,2,1294,96938.0,64
0.35,0.15,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4296155683404682,1.0587254318046444,0.060289316018805196,0.005355195075106064,91.12,0.39925157468854283,0.33075655016887584,17776.000000000025,3,1241,94635.0,65
0.55,0.0,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4252677354043573,1.080643240023821,0.060289316018805196,0.016807436790505673,72.12,0.3917406906288605,0.33214571657362535,18144.000000000004,2,1335,99888.0,66
0.55,0.05,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4296155683404645,1.0780226325193552,0.060289316018805196,0.013780261007911937,77.14,0.39214786047941774,0.3335385585635386,18100.00000000002,2,1243,93101.0,67
0.25,0.15,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.44159462869178745,1.0649593011713299,0.060289316018805196,0.004232904053434239,92.98,0.39683285579430194,0.3370781676345101,17880.666666666675,5,1259,95426.0,68
0.5,0.35,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.44942292154572827,1.0580107206670626,0.060289316018805196,0.0043991693899782126,92.7,0.418716949441667,0.34327458864466387,17764.000000000025,5,1197,95730.0,69
0.25,0.1,0.65,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4625686507582335,1.0614254516577313,0.060289316018805196,0.005452660962045636,90.96,0.3916448348383503,0.3482843122723638,17821.333333333354,3,1297,97021.0,70
0.3,0.05,0.65,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4776134895598946,1.063450466547547,0.060289316018805196,0.008402437363834423,86.06,0.3894936789682033,0.35733004169129007,17855.33333333336,2,1312,97604.0,71
0.7,0.25,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.48516587698542557,1.0630931109787556,0.060289316018805196,0.006547718868249054,89.14,0.43286480849862047,0.3652466844012586,17849.333333333354,2,1205,99626.0,72
0.4,0.3,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4996523231678831,1.0596783799880871,0.060289316018805196,0.00409673847609219,93.2,0.4119829409521168,0.3702200123797795,17792.00000000003,5,1208,95056.0,73
0.3,0.15,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5106033768487693,1.0714314075838773,0.060289316018805196,0.004059472107556471,93.27,0.39727380399345447,0.3753486496776294,17989.333333333347,5,1251,94925.0,74
0.4,0.4,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5137103478345926,1.0501886043279713,0.060289316018805196,0.003668175237931429,93.92,0.41518324607329843,0.3776688987041338,17632.666666666686,6,1200,95160.0,75
0.25,0.35,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5190142276715631,1.0488783005757385,0.060289316018805196,0.004059472107556472,93.27,0.4060954326820755,0.37972912514862117,17610.666666666697,7,1230,95404.0,76
0.2,0.2,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5371429320833896,1.0580504268413717,0.060289316018805196,0.004592667841990597,92.38,0.3975827292253994,0.38946720726306994,17764.66666666668,7,1248,94771.0,77
0.45,0.35,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5504735960584475,1.0656343061346023,0.060289316018805196,0.004297403537438367,92.87,0.4179690062853469,0.3991283148286425,17892.00000000002,4,1197,95559.0,78
0.15,0.25,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.556860673339023,1.069843160611474,0.060289316018805196,0.004204237616099071,93.03,0.40064046360546773,0.4010908460124129,17962.666666666693,5,1254,95959.0,79
